tag,family,topology,process,feature,seed,diffuse_frac,tube,tube_kind,tube_pitch,tube_wall,tube_depth,floor,floor_depth,floor_pitch,depth,aspect,exposed_est,theta,rho,control,params_json
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.0016446916852146387,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.00043474696576595306,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-40.0,0.00036447198363021016,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,20.0,0.00039723573718219995,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,40.0,0.00037872762186452746,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.0006376978708431125,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.0008028449956327677,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-40.0,0.0013716031098738313,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,20.0,0.0009301799000240862,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,40.0,0.0015182169154286385,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.00037236130447126925,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.0009358286042697728,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,-40.0,0.0017024569679051638,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,20.0,0.0011138471309095621,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_flat_d00_s23,floor,shingle/flat,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.01522105255136286,40.0,0.0018863790901377797,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.0006131083937361836,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.0004164974670857191,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,-40.0,0.0003652989398688078,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,20.0,0.00037701590918004513,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d00,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,40.0,0.00035383706563152373,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.0003837217518594116,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.0007769493968226016,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,-40.0,0.001341845141723752,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,20.0,0.0009100906900130212,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d76,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,40.0,0.001486114808358252,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,0.0,0.00035035100881941617,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
FL_bl050grid_cone_d20_s23,floor,shingle/cone,"sheet, grid",0.05,23,d100,bl050grid,shingle,5.5,0.05,48.0,cone,2.0,2.0,50.0,9.090909090909092,0.01522105255136286,-20.0,0.0008964384905993938,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""shingle"", ""top_depth"": 48.0, ""top_params"": {""azimuth_mode"": ""grid"", ""jitter"": 0.3, ""pitch"": 5.5, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0}}"
