tag,family,topology,shape,pitch,open_frac,wall,nu,nv,hole_mm,hole_aspect,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d00,0.0,0.0023829536512494087,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d00,-20.0,0.0019452067790552974,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d00,20.0,0.001966477371752262,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d00,-40.0,0.002137926872819662,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d00,40.0,0.0021121851168572903,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d76,0.0,0.0020647915080189705,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d76,-20.0,0.002358881291002035,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d76,20.0,0.002333653625100851,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d76,-40.0,0.0028928020037710667,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d76,40.0,0.0028528226539492607,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d100,0.0,0.0019746848847717047,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d100,-20.0,0.0024958972353488207,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d100,20.0,0.002452416578307748,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d100,-40.0,0.003141236724331975,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,4,6,0.26644,1.8766,0.18182,23,d100,40.0,0.003090794663876295,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d00,0.0,0.0022839584853500128,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d00,-20.0,0.0018530830275267363,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d00,20.0,0.001848733052611351,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
