tag,family,topology,shape,pitch,open_frac,wall,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d00,0.0,0.0023311651311814785,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d00,-20.0,0.0019730674102902412,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d00,20.0,0.0019649432506412268,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d00,-40.0,0.002158306073397398,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d00,40.0,0.002164345234632492,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d76,0.0,0.0020931896287947893,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d76,-20.0,0.002468564547598362,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d76,20.0,0.0024319454096257687,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d76,-40.0,0.003083266317844391,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d76,40.0,0.0030416036024689674,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
