tag,family,topology,process,feature,seed,diffuse_frac,pitch,depth,theta,rho,control,params_json
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d00,13.0,50.0,0.0,0.0014618226559832692,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d00,13.0,50.0,-20.0,0.0004255189560353756,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d00,13.0,50.0,-40.0,0.00046991879935376346,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d00,13.0,50.0,20.0,0.0004069579008501023,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d00,13.0,50.0,40.0,0.00045240731560625136,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d76,13.0,50.0,0.0,0.0015721149975433946,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d76,13.0,50.0,-20.0,0.0021824140567332506,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d76,13.0,50.0,-40.0,0.0030054973904043436,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d76,13.0,50.0,20.0,0.0019011166878044605,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d76,13.0,50.0,40.0,0.002833346603438258,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,0.0,0.0016316284891217947,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,-20.0,0.0027573457919061184,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,-40.0,0.0038153964560478926,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,20.0,0.002378488425165415,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,40.0,0.0035838489420711994,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,0.0,0.0016858502058312297,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,-20.0,0.000545164686627686,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,-40.0,0.0006153013673610985,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
