tag,material,power,bulge,pitch,depth,aspect,theta,rho,control
P015_B00_p0375_d20,glossy,0.15,0.0,3.75,20.0,5.333333333333333,0.0,9.287310967920348e-05,0.04978206753730774
P015_B00_p0375_d20,glossy,0.15,0.0,3.75,20.0,5.333333333333333,-20.0,0.00010137756180483848,0.049767687916755676
P015_B00_p0375_d20,glossy,0.15,0.0,3.75,20.0,5.333333333333333,-40.0,0.00016048001998569816,0.049768995493650436
P015_B00_p0375_d20,glossy,0.15,0.0,3.75,20.0,5.333333333333333,20.0,0.00010051459685200825,0.04976915568113327
P015_B00_p0375_d20,glossy,0.15,0.0,3.75,20.0,5.333333333333333,40.0,0.00015952525427564979,0.0497652031481266
P015_B00_p0375_d20,fresnel,0.15,0.0,3.75,20.0,5.333333333333333,0.0,0.0031334441155195236,0.04979671537876129
P015_B00_p0375_d20,fresnel,0.15,0.0,3.75,20.0,5.333333333333333,-20.0,0.003278929041698575,0.04978441819548607
P015_B00_p0375_d20,fresnel,0.15,0.0,3.75,20.0,5.333333333333333,-40.0,0.0038314664270728827,0.04983886331319809
P015_B00_p0375_d20,fresnel,0.15,0.0,3.75,20.0,5.333333333333333,20.0,0.003300057491287589,0.04978541284799576
P015_B00_p0375_d20,fresnel,0.15,0.0,3.75,20.0,5.333333333333333,40.0,0.0038508696015924215,0.04983702301979065
P015_B00_p0375_d30,glossy,0.15,0.0,3.75,30.0,8.0,0.0,8.311963028972968e-05,0.04964182525873184
P015_B00_p0375_d30,glossy,0.15,0.0,3.75,30.0,8.0,-20.0,8.103645814117044e-05,0.04960848018527031
P015_B00_p0375_d30,glossy,0.15,0.0,3.75,30.0,8.0,-40.0,0.00010351579840062186,0.049607664346694946
P015_B00_p0375_d30,glossy,0.15,0.0,3.75,30.0,8.0,20.0,8.101506682578474e-05,0.04961860552430153
P015_B00_p0375_d30,glossy,0.15,0.0,3.75,30.0,8.0,40.0,0.00010266708704875782,0.0496145598590374
P015_B00_p0375_d30,fresnel,0.15,0.0,3.75,30.0,8.0,0.0,0.0022533531300723553,0.04966674745082855
P015_B00_p0375_d30,fresnel,0.15,0.0,3.75,30.0,8.0,-20.0,0.0023334845900535583,0.049637846648693085
P015_B00_p0375_d30,fresnel,0.15,0.0,3.75,30.0,8.0,-40.0,0.003004695288836956,0.049723997712135315
P015_B00_p0375_d30,fresnel,0.15,0.0,3.75,30.0,8.0,20.0,0.0023649742361158133,0.04964705929160118
P015_B00_p0375_d30,fresnel,0.15,0.0,3.75,30.0,8.0,40.0,0.0030133097898215055,0.049734119325876236
P015_B00_p0375_d40,glossy,0.15,0.0,3.75,40.0,10.666666666666666,0.0,7.94540683273226e-05,0.04964824020862579
P015_B00_p0375_d40,glossy,0.15,0.0,3.75,40.0,10.666666666666666,-20.0,7.465436647180468e-05,0.04962492734193802
P015_B00_p0375_d40,glossy,0.15,0.0,3.75,40.0,10.666666666666666,-40.0,8.7643442384433e-05,0.04962095245718956
P015_B00_p0375_d40,glossy,0.15,0.0,3.75,40.0,10.666666666666666,20.0,7.354869012488052e-05,0.04961494728922844
P015_B00_p0375_d40,glossy,0.15,0.0,3.75,40.0,10.666666666666666,40.0,8.696083386894315e-05,0.04962731897830963
P015_B00_p0375_d40,fresnel,0.15,0.0,3.75,40.0,10.666666666666666,0.0,0.0018009806517511606,0.049672167748212814
P015_B00_p0375_d40,fresnel,0.15,0.0,3.75,40.0,10.666666666666666,-20.0,0.0019616051577031612,0.049652256071567535
P015_B00_p0375_d40,fresnel,0.15,0.0,3.75,40.0,10.666666666666666,-40.0,0.0026386480312794447,0.04973284900188446
P015_B00_p0375_d40,fresnel,0.15,0.0,3.75,40.0,10.666666666666666,20.0,0.001926675089634955,0.04964273422956467
P015_B00_p0375_d40,fresnel,0.15,0.0,3.75,40.0,10.666666666666666,40.0,0.0026550714392215014,0.04973985254764557
P015_B00_p0375_d50,glossy,0.15,0.0,3.75,50.0,13.333333333333334,0.0,8.075407095020637e-05,0.04964536428451538
P015_B00_p0375_d50,glossy,0.15,0.0,3.75,50.0,13.333333333333334,-20.0,7.345307676587254e-05,0.049618881195783615
P015_B00_p0375_d50,glossy,0.15,0.0,3.75,50.0,13.333333333333334,-40.0,8.532094216207042e-05,0.04961787164211273
P015_B00_p0375_d50,glossy,0.15,0.0,3.75,50.0,13.333333333333334,20.0,7.237284444272518e-05,0.0496184378862381
P015_B00_p0375_d50,glossy,0.15,0.0,3.75,50.0,13.333333333333334,40.0,8.525058365194127e-05,0.04961644113063812
P015_B00_p0375_d50,fresnel,0.15,0.0,3.75,50.0,13.333333333333334,0.0,0.0015716671478003263,0.04967057332396507
P015_B00_p0375_d50,fresnel,0.15,0.0,3.75,50.0,13.333333333333334,-20.0,0.0017580119892954826,0.04964696988463402
P015_B00_p0375_d50,fresnel,0.15,0.0,3.75,50.0,13.333333333333334,-40.0,0.002546840114519,0.04972472041845322
P015_B00_p0375_d50,fresnel,0.15,0.0,3.75,50.0,13.333333333333334,20.0,0.0017246982315555215,0.049646686762571335
P015_B00_p0375_d50,fresnel,0.15,0.0,3.75,50.0,13.333333333333334,40.0,0.0025667292065918446,0.049726832658052444
P015_B00_p0550_d20,glossy,0.15,0.0,5.5,20.0,3.6363636363636362,0.0,9.999508620239794e-05,0.0498947836458683
P015_B00_p0550_d20,glossy,0.15,0.0,5.5,20.0,3.6363636363636362,-20.0,0.00013151185703463852,0.049891725182533264
P015_B00_p0550_d20,glossy,0.15,0.0,5.5,20.0,3.6363636363636362,-40.0,0.0005482454434968531,0.04988578334450722
P015_B00_p0550_d20,glossy,0.15,0.0,5.5,20.0,3.6363636363636362,20.0,0.00013067886175122112,0.049890756607055664
P015_B00_p0550_d20,glossy,0.15,0.0,5.5,20.0,3.6363636363636362,40.0,0.0005327164544723928,0.04988027364015579
P015_B00_p0550_d20,fresnel,0.15,0.0,5.5,20.0,3.6363636363636362,0.0,0.004549969453364611,0.04990134388208389
P015_B00_p0550_d20,fresnel,0.15,0.0,5.5,20.0,3.6363636363636362,-20.0,0.005094148684293032,0.04989975318312645
P015_B00_p0550_d20,fresnel,0.15,0.0,5.5,20.0,3.6363636363636362,-40.0,0.005329618696123362,0.049920182675123215
P015_B00_p0550_d20,fresnel,0.15,0.0,5.5,20.0,3.6363636363636362,20.0,0.005124090705066919,0.04989910125732422
P015_B00_p0550_d20,fresnel,0.15,0.0,5.5,20.0,3.6363636363636362,40.0,0.005333196837455034,0.049915045499801636
P015_B00_p0550_d30,glossy,0.15,0.0,5.5,30.0,5.454545454545454,0.0,6.771058542653918e-05,0.04983515664935112
P015_B00_p0550_d30,glossy,0.15,0.0,5.5,30.0,5.454545454545454,-20.0,7.246027234941721e-05,0.0498303584754467
P015_B00_p0550_d30,glossy,0.15,0.0,5.5,30.0,5.454545454545454,-40.0,0.0001354506384814158,0.049819573760032654
P015_B00_p0550_d30,glossy,0.15,0.0,5.5,30.0,5.454545454545454,20.0,7.290567737072706e-05,0.049830272793769836
P015_B00_p0550_d30,glossy,0.15,0.0,5.5,30.0,5.454545454545454,40.0,0.00013346454943530262,0.04981856048107147
P015_B00_p0550_d30,fresnel,0.15,0.0,5.5,30.0,5.454545454545454,0.0,0.0031116525642573833,0.049846358597278595
P015_B00_p0550_d30,fresnel,0.15,0.0,5.5,30.0,5.454545454545454,-20.0,0.0032404959201812744,0.04984351620078087
P015_B00_p0550_d30,fresnel,0.15,0.0,5.5,30.0,5.454545454545454,-40.0,0.0037758813705295324,0.04987272992730141
P015_B00_p0550_d30,fresnel,0.15,0.0,5.5,30.0,5.454545454545454,20.0,0.0032167588360607624,0.04984293505549431
P015_B00_p0550_d30,fresnel,0.15,0.0,5.5,30.0,5.454545454545454,40.0,0.0037109795957803726,0.04987330362200737
P015_B00_p0550_d40,glossy,0.15,0.0,5.5,40.0,7.2727272727272725,0.0,5.874037015018985e-05,0.04983947426080704
P015_B00_p0550_d40,glossy,0.15,0.0,5.5,40.0,7.2727272727272725,-20.0,5.8901088777929544e-05,0.049824319779872894
P015_B00_p0550_d40,glossy,0.15,0.0,5.5,40.0,7.2727272727272725,-40.0,8.68839051690884e-05,0.049822259694337845
P015_B00_p0550_d40,glossy,0.15,0.0,5.5,40.0,7.2727272727272725,20.0,5.6919008784461766e-05,0.04982666298747063
P015_B00_p0550_d40,glossy,0.15,0.0,5.5,40.0,7.2727272727272725,40.0,8.565326425014064e-05,0.04981650039553642
P015_B00_p0550_d40,fresnel,0.15,0.0,5.5,40.0,7.2727272727272725,0.0,0.002441635588183999,0.049850381910800934
P015_B00_p0550_d40,fresnel,0.15,0.0,5.5,40.0,7.2727272727272725,-20.0,0.0025711883790791035,0.04983728006482124
P015_B00_p0550_d40,fresnel,0.15,0.0,5.5,40.0,7.2727272727272725,-40.0,0.0030431519262492657,0.04987214133143425
P015_B00_p0550_d40,fresnel,0.15,0.0,5.5,40.0,7.2727272727272725,20.0,0.0025110833812505007,0.049839507788419724
P015_B00_p0550_d40,fresnel,0.15,0.0,5.5,40.0,7.2727272727272725,40.0,0.0030621355399489403,0.04987052083015442
P015_B00_p0550_d50,glossy,0.15,0.0,5.5,50.0,9.090909090909092,0.0,5.730080738430843e-05,0.04982960969209671
P015_B00_p0550_d50,glossy,0.15,0.0,5.5,50.0,9.090909090909092,-20.0,5.2566818339983e-05,0.049828264862298965
P015_B00_p0550_d50,glossy,0.15,0.0,5.5,50.0,9.090909090909092,-40.0,7.225499575724825e-05,0.04981686547398567
P015_B00_p0550_d50,glossy,0.15,0.0,5.5,50.0,9.090909090909092,20.0,5.131517900736071e-05,0.04982936382293701
P015_B00_p0550_d50,glossy,0.15,0.0,5.5,50.0,9.090909090909092,40.0,6.997910531936213e-05,0.04982272535562515
P015_B00_p0550_d50,fresnel,0.15,0.0,5.5,50.0,9.090909090909092,0.0,0.0020486905705183744,0.04984170198440552
P015_B00_p0550_d50,fresnel,0.15,0.0,5.5,50.0,9.090909090909092,-20.0,0.002162202959880233,0.04984064772725105
P015_B00_p0550_d50,fresnel,0.15,0.0,5.5,50.0,9.090909090909092,-40.0,0.002812256570905447,0.04987095668911934
P015_B00_p0550_d50,fresnel,0.15,0.0,5.5,50.0,9.090909090909092,20.0,0.0021533623803406954,0.04984135180711746
P015_B00_p0550_d50,fresnel,0.15,0.0,5.5,50.0,9.090909090909092,40.0,0.002770761726424098,0.04987620934844017
P015_B00_p0750_d20,glossy,0.15,0.0,7.5,20.0,2.6666666666666665,0.0,0.00018716328486334532,0.049954116344451904
P015_B00_p0750_d20,glossy,0.15,0.0,7.5,20.0,2.6666666666666665,-20.0,0.0004230976046528667,0.04995159059762955
P015_B00_p0750_d20,glossy,0.15,0.0,7.5,20.0,2.6666666666666665,-40.0,0.0016120598884299397,0.049952976405620575
P015_B00_p0750_d20,glossy,0.15,0.0,7.5,20.0,2.6666666666666665,20.0,0.00041335722198709846,0.049951113760471344
P015_B00_p0750_d20,glossy,0.15,0.0,7.5,20.0,2.6666666666666665,40.0,0.0015700239455327392,0.049953997135162354
P015_B00_p0750_d20,fresnel,0.15,0.0,7.5,20.0,2.6666666666666665,0.0,0.0071997568011283875,0.0499575138092041
P015_B00_p0750_d20,fresnel,0.15,0.0,7.5,20.0,2.6666666666666665,-20.0,0.007165738847106695,0.04995538666844368
P015_B00_p0750_d20,fresnel,0.15,0.0,7.5,20.0,2.6666666666666665,-40.0,0.008039124310016632,0.04996686801314354
P015_B00_p0750_d20,fresnel,0.15,0.0,7.5,20.0,2.6666666666666665,20.0,0.007118784356862307,0.049955010414123535
P015_B00_p0750_d20,fresnel,0.15,0.0,7.5,20.0,2.6666666666666665,40.0,0.008061902597546577,0.049967337399721146
P015_B00_p0750_d30,glossy,0.15,0.0,7.5,30.0,4.0,0.0,7.606670988025144e-05,0.0499085932970047
P015_B00_p0750_d30,glossy,0.15,0.0,7.5,30.0,4.0,-20.0,0.00010104890679940581,0.04990380257368088
P015_B00_p0750_d30,glossy,0.15,0.0,7.5,30.0,4.0,-40.0,0.0003735044156201184,0.04990450292825699
P015_B00_p0750_d30,glossy,0.15,0.0,7.5,30.0,4.0,20.0,0.00010584932169876993,0.049905356019735336
P015_B00_p0750_d30,glossy,0.15,0.0,7.5,30.0,4.0,40.0,0.00039381798706017435,0.04990372061729431
P015_B00_p0750_d30,fresnel,0.15,0.0,7.5,30.0,4.0,0.0,0.004121634177863598,0.049915313720703125
P015_B00_p0750_d30,fresnel,0.15,0.0,7.5,30.0,4.0,-20.0,0.004574693739414215,0.049911122769117355
P015_B00_p0750_d30,fresnel,0.15,0.0,7.5,30.0,4.0,-40.0,0.004776195157319307,0.049932658672332764
P015_B00_p0750_d30,fresnel,0.15,0.0,7.5,30.0,4.0,20.0,0.004700114019215107,0.04991240054368973
P015_B00_p0750_d30,fresnel,0.15,0.0,7.5,30.0,4.0,40.0,0.004825720563530922,0.04993199184536934
P015_B00_p0750_d40,glossy,0.15,0.0,7.5,40.0,5.333333333333333,0.0,5.5320469982689247e-05,0.04990765452384949
P015_B00_p0750_d40,glossy,0.15,0.0,7.5,40.0,5.333333333333333,-20.0,6.269577716011554e-05,0.04990725964307785
P015_B00_p0750_d40,glossy,0.15,0.0,7.5,40.0,5.333333333333333,-40.0,0.00013181944086682051,0.04990389198064804
P015_B00_p0750_d40,glossy,0.15,0.0,7.5,40.0,5.333333333333333,20.0,6.135067815193906e-05,0.04990728199481964
P015_B00_p0750_d40,glossy,0.15,0.0,7.5,40.0,5.333333333333333,40.0,0.00012716396304313093,0.04990630969405174
P015_B00_p0750_d40,fresnel,0.15,0.0,7.5,40.0,5.333333333333333,0.0,0.0030726438853889704,0.049914274364709854
P015_B00_p0750_d40,fresnel,0.15,0.0,7.5,40.0,5.333333333333333,-20.0,0.0033024256117641926,0.04991430789232254
P015_B00_p0750_d40,fresnel,0.15,0.0,7.5,40.0,5.333333333333333,-40.0,0.0037853852845728397,0.049932774156332016
P015_B00_p0750_d40,fresnel,0.15,0.0,7.5,40.0,5.333333333333333,20.0,0.003245593048632145,0.04991406202316284
P015_B00_p0750_d40,fresnel,0.15,0.0,7.5,40.0,5.333333333333333,40.0,0.0037245971616357565,0.04993458464741707
P015_B00_p0750_d50,glossy,0.15,0.0,7.5,50.0,6.666666666666667,0.0,4.873123543802649e-05,0.049906082451343536
P015_B00_p0750_d50,glossy,0.15,0.0,7.5,50.0,6.666666666666667,-20.0,4.9794329243013635e-05,0.049891889095306396
P015_B00_p0750_d50,glossy,0.15,0.0,7.5,50.0,6.666666666666667,-40.0,8.496500959154218e-05,0.0498957522213459
