tag,family,topology,process,feature,seed,diffuse_frac,pitch,depth,aspect,exposed_est,top,bot,split,theta,rho,control,params_json
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d00,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,0.0,0.000525183801073581,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d00,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,-20.0,0.0005794258904643357,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d00,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,-40.0,0.0005832674214616418,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d00,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,20.0,0.0005807419074699283,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d00,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,40.0,0.0005822568200528622,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d76,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,0.0,0.0004774492117576301,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d76,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,-20.0,0.0011495694052428007,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d76,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,-40.0,0.0018326268764212728,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d76,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,20.0,0.001153642893768847,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
ST_comb-cone_50_s23,stack,comb/cone,foil + mould,0.08,23,d76,6.5,50.0,7.6923076923076925,0.03282051282051282,comb,cone,0.5,40.0,0.0018195330630987883,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 25.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 25.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
