surface,kind,theta_in,theta_out,brdf,beta,weight,samples,params_json
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,0.0,4.2448122195255614e-05,0.00013335470884729688,0.000169119275521003,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,10.0,0.001195500525424836,0.0037557756680374026,0.005185244746805636,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,20.0,0.0020014369386683523,0.006287699583143741,0.013925120490468639,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,30.0,0.0011804808852823835,0.003708590076906311,0.05714580475050963,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,40.0,0.000773523551996767,0.0024300959083317255,0.028918085795398504,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",20.0,50.0,0.000758977059108363,0.0023843967531380194,0.012368334169744847,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",30.0,0.0,2.7013119113240075e-05,8.486421655670104e-05,0.004763217693932213,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",30.0,10.0,0.0006296768159899656,0.001978188059249888,0.026565753450876146,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",30.0,20.0,0.0012208198138195854,0.0038353185584524686,0.08311680658745493,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",30.0,30.0,0.0016087165637144471,0.005053932138273523,0.1524065851251435,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
