tag,cells,panel,seed,pitch,depth,wall,paint_frac,paint_mm,shallow,deep,aspect,tip_frac,samples,theta,rho,rho_at60,params_json
RR_p06.5_d62.5_w0.03_f015_s23,25.0,162.5,23,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,0.0,0.00036315969191491604,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s23,25.0,162.5,23,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,-20.0,0.001151742646470666,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s23,25.0,162.5,23,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,-40.0,0.0016454507131129503,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s23,25.0,162.5,23,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,20.0,0.001141174347139895,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s23,25.0,162.5,23,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,40.0,0.001636634231545031,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s101,25.0,162.5,101,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,0.0,0.00036404296406544745,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s101,25.0,162.5,101,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,-20.0,0.0011540718842297792,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s101,25.0,162.5,101,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,-40.0,0.0016443933127447963,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s101,25.0,162.5,101,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,20.0,0.0011438619112595916,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s101,25.0,162.5,101,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,40.0,0.0016378778964281082,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s102,25.0,162.5,102,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,0.0,0.00036242211353965104,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d62.5_w0.03_f015_s102,25.0,162.5,102,6.5,62.5,0.03,0.15,9.375,musou_fit,anodised_hi,9.615384615384615,0.00923076923076923,128,-20.0,0.001143156667239964,0.001634545197399954,"{""depth"": 62.5, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
