tag,pitch,depth,wall,paint_frac,seed,theta,rho,in_scored_band,in_rig_band,flat_coating_rho,samples,margin_depths,params_json
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,0.0,0.0003381253045517951,1,0,0.009961832887039999,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,10.0,0.000736810325179249,1,0,0.009962753096759706,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,20.0,0.001094247680157423,1,1,0.009977653744432421,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,30.0,0.0013170577585697174,1,1,0.010052316187519728,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,40.0,0.0016136235790327191,1,1,0.01030255935529961,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,45.0,0.001800119411200285,0,1,0.010570348017951196,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,50.0,0.001991460332646966,0,1,0.011011467898119626,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,55.0,0.002185140736401081,0,1,0.011728305049914695,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,60.0,0.0024005547165870667,0,1,0.012884793735446275,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s23,6.4,64.0,0.03,0.15,23,65.0,0.0026299182791262865,0,1,0.014746394207629836,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
