tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,material_mode,spec_roughness,n_slats,n_baffles,png,depth_mm,slat_len_mm,slat_deg,slat_zone_depth_mm,chamber_depth_mm,slat_overlap,pitch_mean_mm,open_face_fraction,chamber_aperture_fraction,flare_mm,chamfer_mm,baffle_rows,baffle_count,baffle_len_mm,back_profile
bang00,hemi_view,-80,0.9999726563390579,0.04999857768416405,0.04999994486570358,0.04999998211860657,0.04999998211860657,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-80.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-70,0.9999825656260755,0.04999908432364464,0.04999995604157448,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-70.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-60,0.9999832361776697,0.049999114125967026,0.04999995231628418,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-60.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-50,0.9969906335695715,0.0498494915664196,0.04999995976686478,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-50.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-40,0.8417064999801814,0.04208529740571976,0.049999967217445374,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-40.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-30,0.5812510188675647,0.029062531888484955,0.049999967217445374,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-30.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-20,0.3767776260093402,0.01883886754512787,0.049999963492155075,0.04999999329447746,0.04999999329447746,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-20.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,-10,0.19894947854465914,0.009947466664016247,0.049999963492155075,0.04999998211860657,0.04999998211860657,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th-10.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,0,0.03673744276366674,0.0018368707969784737,0.049999963492155075,0.0294270608574152,0.030390677973628044,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+00.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,10,0.0516313132633917,0.002581563778221607,0.049999963492155075,0.028867259621620178,0.0314009003341198,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+10.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,20,0.08412557277311483,0.004206275567412376,0.049999963492155075,0.02569655328989029,0.029467903077602386,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+20.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,30,0.09827106183658124,0.004913549870252609,0.049999967217445374,0.023471739143133163,0.02504887245595455,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+30.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,40,0.1568456091166556,0.007842275314033031,0.049999967217445374,0.02855927124619484,0.030265962705016136,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+40.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
bang00,hemi_view,50,0.15059543784191673,0.007529765833169222,0.04999995976686478,0.028463775292038918,0.029837200418114662,mixed,0.05,25,17,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/baffle_angle/bang00__hemi_view_th+50.0.png,100.0,30.0,45.0,21.213203435596427,78.78679656440357,1.0606601717798212,20.0,0.95,0.20994522337775917,20.0,30.0,2,16,34.5,flat
