tag,family,topology,phi,seed,material,rho0,diffuse_frac,roughness,theta_in,theta_out,brdf,brdf_analytic,panel_mean,panel_p99,panel_max,panel_px,control_mean,control_expect,control_dev,sun_angle_deg,mm_per_px,res_x,res_y,samples,cycles_seed,margin_depths,params_json
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,-80.0,0.0035480558836464044,0.0035397266285114707,0.0006146670784801245,0.0006150800042087212,0.0006152010173536837,37200,0.0027572086546570063,0.002763696583459164,0.002347554663195819,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,-60.0,0.0027904674884616718,0.0027904619775702922,0.0004845586372539401,0.0004849398974329233,0.00048503352445550263,107880,0.0027636911254376173,0.002763696583459164,1.9748989739111473e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,-40.0,0.002494130335260164,0.002494119526224003,0.000433099310612306,0.00043349017505533993,0.00043356558308005333,165540,0.002763684606179595,0.002763696583459164,4.333789621070598e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,-20.0,0.0024345076186505646,0.002434508758578977,0.00042274800944142044,0.00042314131860621274,0.0004232288629282266,203670,0.0027636978775262833,0.002763696583459164,4.6823776778971197e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,0.0,0.002456484457296417,0.0024564856075152157,0.00042656424921005964,0.0004269606142770499,0.0004270518256817013,216690,0.0027636978775262833,0.002763696583459164,4.6823776778971197e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,20.0,0.002554076202275515,0.0025540773981904547,0.00044351088581606746,0.0004439237236510962,0.00044401935883797705,203670,0.0027636978775262833,0.002763696583459164,4.6823776778971197e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,40.0,0.006996910710724584,0.0069968809770479656,0.0012149956310167909,0.0012167358328588308,0.0012173106661066413,165540,0.0027636848390102386,0.002763696583459164,4.249543526529188e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,60.0,0.2750784794860538,0.2750779362338469,0.047766782343387604,0.04854788511991501,0.049021732062101364,107880,0.0027636911254376173,0.002763696583459164,1.9748989739111473e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-80.0,80.0,2.3840410097802263,2.3784788887272863,0.41301852464675903,0.42058575540781024,0.4254617691040039,37200,0.0027572487015277147,0.002763696583459164,0.0023330643349346964,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,-80.0,0.002873179876546281,0.0028664506971836086,0.0014332253485918045,0.0014335882186423986,0.0014336769236251712,37200,0.007939109578728676,0.007957747154594769,0.0023420668568655853,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,-60.0,0.0025509328080961006,0.0025509253609925504,0.0012754626804962754,0.001275813929969445,0.001275889459066093,107880,0.007957723923027515,0.007957747154594769,2.919364840568352e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,-40.0,0.0024518841481553258,0.002451872685924172,0.0012259363429620862,0.0012262838426977396,0.00122641131747514,165540,0.007957709953188896,0.007957747154594769,4.674866535688943e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,-20.0,0.0024286806940299168,0.00242868042550981,0.0012143402127549052,0.0012147104495670647,0.00121492356993258,203670,0.007957746274769306,0.007957747154594769,1.1056212837540599e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,0.0,0.0024586005992006657,0.0024586003273725505,0.0012293001636862755,0.0012296891072764993,0.001229892368428409,216690,0.007957746274769306,0.007957747154594769,1.1056212837540599e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,20.0,0.0026572517263294387,0.002657251432538032,0.0013286257162690163,0.0013291839277371764,0.0013294569216668606,203670,0.007957746274769306,0.007957747154594769,1.1056212837540599e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,40.0,0.023228750190723662,0.02322864159941673,0.011614320799708366,0.011688998378813266,0.011764963157474995,165540,0.007957709953188896,0.007957747154594769,4.674866535688943e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,60.0,0.7981503660952289,0.7981480360031126,0.3990740180015564,0.4036692142486572,0.40616968274116516,107880,0.007957723923027515,0.007957747154594769,2.919364840568352e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-60.0,80.0,0.24778455332277147,0.24720785021781916,0.1236039251089096,0.12719334974884988,0.1289978176355362,37200,0.007939225994050503,0.007957747154594769,0.0023274376760729137,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-80.0,0.002817992487899784,0.0028113954792725465,0.00215365388430655,0.0021539803128689528,0.00215406552888453,37200,0.0121634341776371,0.01219197597504636,0.00234103130351285,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-60.0,0.002570514077973134,0.0025705057285643745,0.001969121629372239,0.0019694301299750805,0.0019695351365953684,107880,0.012191936373710632,0.01219197597504636,3.2481474544472553e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-40.0,0.0024752665417646243,0.0024752543419508262,0.001896154833957553,0.0018964599585160613,0.0018966416828334332,165540,0.01219191588461399,0.01219197597504636,4.928686907894023e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-20.0,0.0024446815722289363,0.0024446812880762176,0.001872734515927732,0.0018731788732111454,0.001873609027825296,203670,0.012191974557936192,0.01219197597504636,1.1623301847828014e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,0.0,0.002556334878240104,0.0025563345811095844,0.0019582659006118774,0.001958855919074267,0.0019592258613556623,216690,0.012191974557936192,0.01219197597504636,1.1623301847828014e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,20.0,0.004430141017024586,0.004430140502095924,0.0033936845138669014,0.0034010163345374166,0.003404417308047414,203670,0.012191974557936192,0.01219197597504636,1.1623301847828014e-07,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat,stack,flat,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,40.0,0.11447249223045243,0.11447192803137865,0.08769058436155319,0.08858744621276855,0.08902709931135178,165540,0.01219191588461399,0.01219197597504636,4.928686907894023e-06,20.0,0.21501976284584978,1518,493,256,,0.0,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
