tag,pitch,tip_radius,second_ratio,second_depth_frac,second_tip,theta,rho
B_none,7.5,0.4,0.0,0.55,0.4,-80.0,0.002131899818778038
B_none,7.5,0.4,0.0,0.55,0.4,-70.0,0.0006113613490015268
B_none,7.5,0.4,0.0,0.55,0.4,-60.0,0.00020381587091833353
B_none,7.5,0.4,0.0,0.55,0.4,-50.0,0.00011970211198786274
B_none,7.5,0.4,0.0,0.55,0.4,-40.0,9.325706196250394e-05
B_none,7.5,0.4,0.0,0.55,0.4,-30.0,8.180076110875234e-05
B_none,7.5,0.4,0.0,0.55,0.4,-20.0,7.733651727903634e-05
B_none,7.5,0.4,0.0,0.55,0.4,-10.0,7.940863724797964e-05
B_none,7.5,0.4,0.0,0.55,0.4,0.0,8.345488458871841e-05
B_none,7.5,0.4,0.0,0.55,0.4,10.0,7.96490057837218e-05
B_none,7.5,0.4,0.0,0.55,0.4,20.0,7.704630115767941e-05
B_none,7.5,0.4,0.0,0.55,0.4,30.0,8.1462218076922e-05
B_none,7.5,0.4,0.0,0.55,0.4,40.0,9.278856305172667e-05
B_none,7.5,0.4,0.0,0.55,0.4,50.0,0.00011806619295384735
B_none,7.5,0.4,0.0,0.55,0.4,60.0,0.00019707185856532305
B_none,7.5,0.4,0.0,0.55,0.4,70.0,0.0005786910769529641
B_none,7.5,0.4,0.0,0.55,0.4,80.0,0.002035241574048996
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-80.0,0.0008783843950368464
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-70.0,0.000356363772880286
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-60.0,0.0002665355568751693
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-50.0,0.00024020603450480849
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-40.0,0.00022977677872404456
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-30.0,0.00022480277402792126
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-20.0,0.00022288071340881288
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,-10.0,0.00022295046073850244
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,0.0,0.00023022081586532295
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,10.0,0.0002228313678642735
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,20.0,0.00022310775239020586
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,30.0,0.00022491900017485023
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,40.0,0.00022986027761362493
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,50.0,0.00024049007333815098
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,60.0,0.0002667515946086496
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,70.0,0.00035790930269286036
B_none_p3.75,3.75,0.4,0.0,0.55,0.4,80.0,0.0008853539475239813
B_tip020,7.5,0.2,0.0,0.55,0.4,-80.0,0.0021976858843117952
B_tip020,7.5,0.2,0.0,0.55,0.4,-70.0,0.000631693925242871
B_tip020,7.5,0.2,0.0,0.55,0.4,-60.0,0.00017974627553485334
B_tip020,7.5,0.2,0.0,0.55,0.4,-50.0,8.50909054861404e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,-40.0,5.6163953559007496e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,-30.0,4.411223198985681e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,-20.0,3.9860249671619385e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,-10.0,4.2701609345385805e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,0.0,4.617350350599736e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,10.0,4.2796989873750135e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,20.0,3.9511724025942385e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,30.0,4.3725347495637834e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,40.0,5.5524411436636e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,50.0,8.311123383464292e-05
B_tip020,7.5,0.2,0.0,0.55,0.4,60.0,0.00017122671124525368
B_tip020,7.5,0.2,0.0,0.55,0.4,70.0,0.0005917965318076313
B_tip020,7.5,0.2,0.0,0.55,0.4,80.0,0.002097607124596834
B_tip010,7.5,0.1,0.0,0.55,0.4,-80.0,0.0022350894287228584
B_tip010,7.5,0.1,0.0,0.55,0.4,-70.0,0.000651176436804235
B_tip010,7.5,0.1,0.0,0.55,0.4,-60.0,0.00017744209617376328
B_tip010,7.5,0.1,0.0,0.55,0.4,-50.0,7.714929233770818e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,-40.0,4.731782610178925e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,-30.0,3.497377474559471e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,-20.0,3.071168976020999e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,-10.0,3.364167423569597e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,0.0,3.697067222674377e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,10.0,3.378025576239452e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,20.0,3.0396140573429875e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,30.0,3.460009611444548e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,40.0,4.6400509745581076e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,50.0,7.49771497794427e-05
B_tip010,7.5,0.1,0.0,0.55,0.4,60.0,0.00016818221774883568
B_tip010,7.5,0.1,0.0,0.55,0.4,70.0,0.0006067503127269447
B_tip010,7.5,0.1,0.0,0.55,0.4,80.0,0.0021365561988204718
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-80.0,0.0021318988874554634
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-70.0,0.0006113614654168487
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-60.0,0.00020385249808896333
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-50.0,0.00011995060776825994
