tag,profile,thickness,pitch,tilt_deg,azimuth_mode,seed,diffuse_frac,theta,rho,control,params_json
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d00,0.0,0.002184397540986538,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d00,-20.0,0.0004397473530843854,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d00,-40.0,0.0003018948482349515,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d00,20.0,0.00039454433135688305,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d00,40.0,0.00029725366039201617,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d76,0.0,0.0007974165491759777,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d76,-20.0,0.0009573187562637031,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d76,-40.0,0.0015602835919708014,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d76,20.0,0.0009481255547143519,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d76,40.0,0.0015725374687463045,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d100,0.0,0.00040773191722109914,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d100,-20.0,0.0011334086302667856,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d100,-40.0,0.0019788348581641912,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d100,20.0,0.0011554795783013105,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_rand_s23,flat,0.05,5.5,2.0,random,23,d100,40.0,0.00198325770907104,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""random"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d00,0.0,0.002079399535432458,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d00,-20.0,0.0004356894933152944,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d00,-40.0,0.0003549843095242977,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d00,20.0,0.00040207599522545934,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d00,40.0,0.0003516119031701237,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d76,0.0,0.0007408706587739289,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d76,-20.0,0.0007791711250320077,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d76,-40.0,0.0013283153530210257,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d76,20.0,0.0009141283226199448,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d76,40.0,0.0014876507921144366,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d100,0.0,0.00038242089794948697,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d100,-20.0,0.0009090953390114009,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d100,-40.0,0.001644139876589179,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
BL_FLAT_t050_p0550_a02_grid_s23,flat,0.05,5.5,2.0,grid,23,d100,20.0,0.0010925126262009144,0.04999997094273567,"{""azimuth_jitter"": 180.0, ""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
