tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,material_mode,spec_roughness,n_slats,n_baffles,png,depth_mm,slat_len_mm,slat_deg,slat_zone_depth_mm,chamber_depth_mm,slat_overlap,pitch_mean_mm,open_face_fraction,chamber_aperture_fraction,flare_mm,chamfer_mm,baffle_rows,baffle_count,baffle_len_mm,back_profile
coat_r005_g15,angle,-60.0,0.5201407490700525,0.004139149561524391,0.00795774906873703,0.18003633618354797,0.18956643342971802,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-60.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-56.0,0.0421196071606879,0.000374857394490391,0.008899831213057041,0.015741217881441116,0.016793083399534225,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-56.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-52.0,0.004868727735260124,4.770650411956012e-05,0.009798556566238403,0.001631495077162981,0.0017301860498264432,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-52.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-48.0,0.0015083236772819228,1.606296245881822e-05,0.010649546049535275,0.00036674615694209933,0.0003871989028993994,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-48.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-44.0,0.000768570195142429,8.799090210231952e-06,0.011448648758232594,0.00012606993550434709,0.0001325189514318481,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-44.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-40.0,0.0005047084703386707,6.15339376963675e-06,0.01219197642058134,5.773433076683432e-05,7.017196185188368e-05,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-40.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-36.0,0.000433069950206598,5.576168859988684e-06,0.012875908054411411,4.173439083388075e-05,6.548617238877341e-05,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-36.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-32.0,0.0007061570569205042,9.531075193081051e-06,0.013497103936970234,0.00012591632548719645,0.0002162922901334241,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-32.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-28.0,0.000506117346447974,7.112239472917281e-06,0.014052550308406353,0.0001200213810079731,0.00018217421893496066,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-28.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
coat_r005_g15,angle,-24.0,0.00024811117686286097,3.6074193303647917e-06,0.014539527706801891,3.976475272793323e-05,7.462553185177967e-05,mixed,0.15,12,18,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/coating/coat_r005_g15__angle_th-24.0.png,100.0,79.2,45.0,56.00285706997457,43.99714293002543,1.400071426749364,40.0,0.975,0.18053185715781955,20.0,30.0,2,16,48.8,flat
