tag,family,topology,process,feature,seed,diffuse_frac,roughness,pitch,depth,theta,rho,control,params_json
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d00,0.1,5.5,50.0,0.0,0.005499078892171383,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d00,0.1,5.5,50.0,-20.0,0.00020816219330299646,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d00,0.1,5.5,50.0,-40.0,0.00013902736827731133,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d00,0.1,5.5,50.0,20.0,0.00015016671386547387,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d00,0.1,5.5,50.0,40.0,0.00014105631271377206,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d76,0.1,5.5,50.0,0.0,0.0015152419218793511,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d76,0.1,5.5,50.0,-20.0,0.0007213588105514646,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d76,0.1,5.5,50.0,-40.0,0.0012788557214662433,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d76,0.1,5.5,50.0,20.0,0.0008537967223674059,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d76,0.1,5.5,50.0,40.0,0.00143734912853688,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d100,0.1,5.5,50.0,0.0,0.00038242089794948697,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d100,0.1,5.5,50.0,-20.0,0.0009090953390114009,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
CR_blade_flat_r10_s23,topo,CR_blade_flat,n/a,,23,d100,0.1,5.5,50.0,-40.0,0.001644139876589179,0.04999997094273567,"{""azimuth_mode"": ""grid"", ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""plate_over"": 1.15, ""plate_t_bot"": 0.05, ""plate_t_top"": 0.05, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
