tag,depth,pitch,aspect,theta,rho
S_d020_p05.0,20.0,5.0,4.0,-80.0,0.0019766425248235464
S_d020_p05.0,20.0,5.0,4.0,-70.0,0.0006085801287554204
S_d020_p05.0,20.0,5.0,4.0,-60.0,0.0002560876018833369
S_d020_p05.0,20.0,5.0,4.0,-50.0,0.00017658653086982667
S_d020_p05.0,20.0,5.0,4.0,-40.0,0.00015245021495502442
S_d020_p05.0,20.0,5.0,4.0,-30.0,0.00014259795716498047
S_d020_p05.0,20.0,5.0,4.0,-20.0,0.0001389652315992862
S_d020_p05.0,20.0,5.0,4.0,-10.0,0.00014148990157991648
S_d020_p05.0,20.0,5.0,4.0,0.0,0.00014474136696662754
S_d020_p05.0,20.0,5.0,4.0,10.0,0.00014148373156785965
S_d020_p05.0,20.0,5.0,4.0,20.0,0.00013926111569162458
S_d020_p05.0,20.0,5.0,4.0,30.0,0.00014290722901932895
S_d020_p05.0,20.0,5.0,4.0,40.0,0.00015295902267098427
S_d020_p05.0,20.0,5.0,4.0,50.0,0.00017746775120031089
S_d020_p05.0,20.0,5.0,4.0,60.0,0.0002596700796857476
S_d020_p05.0,20.0,5.0,4.0,70.0,0.0006260863738134503
S_d020_p05.0,20.0,5.0,4.0,80.0,0.0020114954095333815
S_d030_p07.5,30.0,7.5,4.0,-80.0,0.0018711372977122664
S_d030_p07.5,30.0,7.5,4.0,-70.0,0.0005749106057919562
S_d030_p07.5,30.0,7.5,4.0,-60.0,0.0002026482834480703
S_d030_p07.5,30.0,7.5,4.0,-50.0,0.00011944432480959222
S_d030_p07.5,30.0,7.5,4.0,-40.0,9.399348346050829e-05
S_d030_p07.5,30.0,7.5,4.0,-30.0,8.309130498673767e-05
S_d030_p07.5,30.0,7.5,4.0,-20.0,7.830961112631485e-05
S_d030_p07.5,30.0,7.5,4.0,-10.0,8.105176675599068e-05
S_d030_p07.5,30.0,7.5,4.0,0.0,8.4135310316924e-05
S_d030_p07.5,30.0,7.5,4.0,10.0,8.105245069600642e-05
S_d030_p07.5,30.0,7.5,4.0,20.0,7.846177322790027e-05
S_d030_p07.5,30.0,7.5,4.0,30.0,8.299612090922892e-05
S_d030_p07.5,30.0,7.5,4.0,40.0,9.366926678922027e-05
S_d030_p07.5,30.0,7.5,4.0,50.0,0.00011929374886676669
S_d030_p07.5,30.0,7.5,4.0,60.0,0.00020470442541409284
S_d030_p07.5,30.0,7.5,4.0,70.0,0.0005942446296103299
S_d030_p07.5,30.0,7.5,4.0,80.0,0.0020029833540320396
S_d050_p12.5,50.0,12.5,4.0,-80.0,0.002218320034444332
S_d050_p12.5,50.0,12.5,4.0,-70.0,0.0006913238321430981
S_d050_p12.5,50.0,12.5,4.0,-60.0,0.00020188176131341606
S_d050_p12.5,50.0,12.5,4.0,-50.0,9.386178862769157e-05
S_d050_p12.5,50.0,12.5,4.0,-40.0,6.309273885563016e-05
S_d050_p12.5,50.0,12.5,4.0,-30.0,5.043865166953765e-05
S_d050_p12.5,50.0,12.5,4.0,-20.0,4.528034332906827e-05
S_d050_p12.5,50.0,12.5,4.0,-10.0,4.760503361467272e-05
S_d050_p12.5,50.0,12.5,4.0,0.0,5.240069731371477e-05
S_d050_p12.5,50.0,12.5,4.0,10.0,4.9220190703636035e-05
S_d050_p12.5,50.0,12.5,4.0,20.0,4.699786222772673e-05
S_d050_p12.5,50.0,12.5,4.0,30.0,5.162988600204699e-05
S_d050_p12.5,50.0,12.5,4.0,40.0,6.442664744099602e-05
S_d050_p12.5,50.0,12.5,4.0,50.0,9.542048064759001e-05
S_d050_p12.5,50.0,12.5,4.0,60.0,0.0002044459542958066
S_d050_p12.5,50.0,12.5,4.0,70.0,0.0006852765218354762
S_d050_p12.5,50.0,12.5,4.0,80.0,0.0020955686923116446
S_d080_p20.0,80.0,20.0,4.0,-80.0,0.0023359162732958794
S_d080_p20.0,80.0,20.0,4.0,-70.0,0.0008000315865501761
S_d080_p20.0,80.0,20.0,4.0,-60.0,0.000257393519859761
S_d080_p20.0,80.0,20.0,4.0,-50.0,0.0001032241343636997
S_d080_p20.0,80.0,20.0,4.0,-40.0,5.985047755530104e-05
S_d080_p20.0,80.0,20.0,4.0,-30.0,4.480072675505653e-05
S_d080_p20.0,80.0,20.0,4.0,-20.0,3.9545375329907984e-05
S_d080_p20.0,80.0,20.0,4.0,-10.0,4.3454161641420797e-05
S_d080_p20.0,80.0,20.0,4.0,0.0,4.550888843368739e-05
S_d080_p20.0,80.0,20.0,4.0,10.0,4.057653131894767e-05
S_d080_p20.0,80.0,20.0,4.0,20.0,3.661072696559131e-05
S_d080_p20.0,80.0,20.0,4.0,30.0,4.2237887100782245e-05
S_d080_p20.0,80.0,20.0,4.0,40.0,5.609783693216741e-05
S_d080_p20.0,80.0,20.0,4.0,50.0,9.432055230718106e-05
S_d080_p20.0,80.0,20.0,4.0,60.0,0.00023068598238751292
S_d080_p20.0,80.0,20.0,4.0,70.0,0.0007827459485270083
S_d080_p20.0,80.0,20.0,4.0,80.0,0.002375494921579957
S_d020_p02.5,20.0,2.5,8.0,-80.0,0.001038252143189311
S_d020_p02.5,20.0,2.5,8.0,-70.0,0.0005866448627784848
S_d020_p02.5,20.0,2.5,8.0,-60.0,0.0005107510951347649
S_d020_p02.5,20.0,2.5,8.0,-50.0,0.0004916602047160268
S_d020_p02.5,20.0,2.5,8.0,-40.0,0.00048307597171515226
S_d020_p02.5,20.0,2.5,8.0,-30.0,0.0004792866238858551
S_d020_p02.5,20.0,2.5,8.0,-20.0,0.0004780548915732652
S_d020_p02.5,20.0,2.5,8.0,-10.0,0.0004774050903506577
S_d020_p02.5,20.0,2.5,8.0,0.0,0.00048441844410263
S_d020_p02.5,20.0,2.5,8.0,10.0,0.0004774103290401399
S_d020_p02.5,20.0,2.5,8.0,20.0,0.00047816315782256424
S_d020_p02.5,20.0,2.5,8.0,30.0,0.0004793766129296273
S_d020_p02.5,20.0,2.5,8.0,40.0,0.0004829588287975639
S_d020_p02.5,20.0,2.5,8.0,50.0,0.0004916828474961221
S_d020_p02.5,20.0,2.5,8.0,60.0,0.0005106240860186517
S_d020_p02.5,20.0,2.5,8.0,70.0,0.00058713712496683
S_d020_p02.5,20.0,2.5,8.0,80.0,0.001040610601194203
S_d030_p03.8,30.0,3.75,8.0,-80.0,0.0008984410087577999
S_d030_p03.8,30.0,3.75,8.0,-70.0,0.0003588362305890769
S_d030_p03.8,30.0,3.75,8.0,-60.0,0.0002647857181727886
S_d030_p03.8,30.0,3.75,8.0,-50.0,0.000241440546233207
S_d030_p03.8,30.0,3.75,8.0,-40.0,0.00023109237372409552
S_d030_p03.8,30.0,3.75,8.0,-30.0,0.00022537326731253415
S_d030_p03.8,30.0,3.75,8.0,-20.0,0.0002231457910966128
S_d030_p03.8,30.0,3.75,8.0,-10.0,0.00022219057427719235
S_d030_p03.8,30.0,3.75,8.0,0.0,0.00022947140678297728
S_d030_p03.8,30.0,3.75,8.0,10.0,0.00022225012071430683
S_d030_p03.8,30.0,3.75,8.0,20.0,0.00022297380201052874
S_d030_p03.8,30.0,3.75,8.0,30.0,0.00022552520385943353
S_d030_p03.8,30.0,3.75,8.0,40.0,0.0002311111893504858
S_d030_p03.8,30.0,3.75,8.0,50.0,0.000241552697843872
S_d030_p03.8,30.0,3.75,8.0,60.0,0.0002656341821420938
S_d030_p03.8,30.0,3.75,8.0,70.0,0.00036010879557579756
S_d030_p03.8,30.0,3.75,8.0,80.0,0.0009034317336045206
S_d050_p06.2,50.0,6.25,8.0,-80.0,0.000819013046566397
S_d050_p06.2,50.0,6.25,8.0,-70.0,0.00023545412113890052
S_d050_p06.2,50.0,6.25,8.0,-60.0,0.00013547678827308118
S_d050_p06.2,50.0,6.25,8.0,-50.0,0.0001059138958225958
S_d050_p06.2,50.0,6.25,8.0,-40.0,9.440103167435154e-05
S_d050_p06.2,50.0,6.25,8.0,-30.0,8.93245087354444e-05
S_d050_p06.2,50.0,6.25,8.0,-20.0,8.80634761415422e-05
S_d050_p06.2,50.0,6.25,8.0,-10.0,8.81574596860446e-05
S_d050_p06.2,50.0,6.25,8.0,0.0,9.644437523093075e-05
S_d050_p06.2,50.0,6.25,8.0,10.0,8.829400030663237e-05
S_d050_p06.2,50.0,6.25,8.0,20.0,8.819256618153304e-05
S_d050_p06.2,50.0,6.25,8.0,30.0,8.952368807513267e-05
S_d050_p06.2,50.0,6.25,8.0,40.0,9.481774759478867e-05
S_d050_p06.2,50.0,6.25,8.0,50.0,0.00010637674859026447
S_d050_p06.2,50.0,6.25,8.0,60.0,0.00013604649575427175
S_d050_p06.2,50.0,6.25,8.0,70.0,0.00023326848167926073
S_d050_p06.2,50.0,6.25,8.0,80.0,0.0007858138415031135
S_d080_p10.0,80.0,10.0,8.0,-80.0,0.0008991304785013199
S_d080_p10.0,80.0,10.0,8.0,-70.0,0.00023455549671780318
S_d080_p10.0,80.0,10.0,8.0,-60.0,0.00010663110879249871
S_d080_p10.0,80.0,10.0,8.0,-50.0,7.118347275536507e-05
S_d080_p10.0,80.0,10.0,8.0,-40.0,5.759818304795772e-05
S_d080_p10.0,80.0,10.0,8.0,-30.0,5.130720091983676e-05
S_d080_p10.0,80.0,10.0,8.0,-20.0,4.8958241677610204e-05
S_d080_p10.0,80.0,10.0,8.0,-10.0,4.842147609451786e-05
S_d080_p10.0,80.0,10.0,8.0,0.0,5.5656011682003736e-05
S_d080_p10.0,80.0,10.0,8.0,10.0,4.7617522795917466e-05
S_d080_p10.0,80.0,10.0,8.0,20.0,4.829574390896596e-05
S_d080_p10.0,80.0,10.0,8.0,30.0,5.0528022256912664e-05
S_d080_p10.0,80.0,10.0,8.0,40.0,5.605548358289525e-05
S_d080_p10.0,80.0,10.0,8.0,50.0,6.83501421008259e-05
S_d080_p10.0,80.0,10.0,8.0,60.0,0.00010009537800215185
S_d080_p10.0,80.0,10.0,8.0,70.0,0.00022118391643743962
S_d080_p10.0,80.0,10.0,8.0,80.0,0.000884628389030695
