tag,family,topology,process,feature,seed,diffuse_frac,tube,tube_kind,tube_pitch,tube_wall,tube_depth,floor,floor_depth,floor_pitch,depth,aspect,exposed_est,theta,rho,control,params_json
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d00,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.0018333194311708212,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d00,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.0013565050903707743,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d00,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0021020069252699614,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d00,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.0013237159000709653,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d00,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,40.0,0.002136221155524254,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d76,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.0010301648871973157,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d76,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.0013391993707045913,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d76,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0019758727867156267,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d76,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.0013404780765995383,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d76,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,40.0,0.002042066538706422,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.0008657085127197206,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.001447593909688294,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0021356006618589163,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.0014534707879647613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
