tag,family,topology,feature,seed,diffuse_frac,pitch,depth,aspect,exposed_est,theta,rho,control,params_json
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,0.0,0.002369863446801901,0.04992397129535675,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0009516155696474016,0.049900371581315994,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,-40.0,0.00096575275529176,0.04992322623729706,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,20.0,0.0009481747401878238,0.04990575462579727,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,40.0,0.0009771246695891023,0.049920108169317245,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,0.0,0.0012810099869966507,0.04992401599884033,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0015204035444185138,0.049900371581315994,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0021621861960738897,0.04992322623729706,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,20.0,0.0014885379932820797,0.04990575462579727,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,40.0,0.002127908868715167,0.049920108169317245,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,0.0,0.0009887035703286529,0.04992401599884033,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-20.0,0.001719525782391429,0.049900371581315994,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-40.0,0.002564347116276622,0.04992322623729706,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,20.0,0.0016851770924404263,0.04990575462579727,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t02_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,40.0,0.002505331300199032,0.049920108169317245,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 2.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,0.0,0.001648987177759409,0.04997251555323601,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0009579086909070611,0.049963317811489105,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
