tag,family,depth,pitch,theta,rho
D1_groove_p13,ridge,50.0,13.0,-80.0,0.0025784482713788748
D1_groove_p13,ridge,50.0,13.0,-70.0,0.000914268777705729
D1_groove_p13,ridge,50.0,13.0,-60.0,0.0005120618734508753
D1_groove_p13,ridge,50.0,13.0,-50.0,0.0003728827286977321
D1_groove_p13,ridge,50.0,13.0,-40.0,0.00030930538196116686
D1_groove_p13,ridge,50.0,13.0,-30.0,0.0002750353596638888
D1_groove_p13,ridge,50.0,13.0,-20.0,0.0002531349309720099
D1_groove_p13,ridge,50.0,13.0,-10.0,0.00024515119730494916
D1_groove_p13,ridge,50.0,13.0,0.0,0.0002680807374417782
D1_groove_p13,ridge,50.0,13.0,10.0,0.00024561857571825385
D1_groove_p13,ridge,50.0,13.0,20.0,0.0002535227977205068
D1_groove_p13,ridge,50.0,13.0,30.0,0.00027653746656142175
D1_groove_p13,ridge,50.0,13.0,40.0,0.0003108270466327667
D1_groove_p13,ridge,50.0,13.0,50.0,0.0003720238746609539
D1_groove_p13,ridge,50.0,13.0,60.0,0.0005091499770060182
D1_groove_p13,ridge,50.0,13.0,70.0,0.0009171301499009132
D1_groove_p13,ridge,50.0,13.0,80.0,0.0025783113669604063
D1_groove_p08,ridge,50.0,8.0,-80.0,0.0021801250986754894
D1_groove_p08,ridge,50.0,8.0,-70.0,0.001003238488920033
D1_groove_p08,ridge,50.0,8.0,-60.0,0.000676673895213753
D1_groove_p08,ridge,50.0,8.0,-50.0,0.0005254772840999067
D1_groove_p08,ridge,50.0,8.0,-40.0,0.00045125873293727636
D1_groove_p08,ridge,50.0,8.0,-30.0,0.0004012045683339238
D1_groove_p08,ridge,50.0,8.0,-20.0,0.0003814624797087163
D1_groove_p08,ridge,50.0,8.0,-10.0,0.0003657886991277337
D1_groove_p08,ridge,50.0,8.0,0.0,0.0003878327552229166
D1_groove_p08,ridge,50.0,8.0,10.0,0.0003646568220574409
D1_groove_p08,ridge,50.0,8.0,20.0,0.0003808779292739928
D1_groove_p08,ridge,50.0,8.0,30.0,0.00039887145976535976
D1_groove_p08,ridge,50.0,8.0,40.0,0.0004480262869037688
D1_groove_p08,ridge,50.0,8.0,50.0,0.0005276288720779121
D1_groove_p08,ridge,50.0,8.0,60.0,0.0006635811878368258
D1_groove_p08,ridge,50.0,8.0,70.0,0.0009941384196281433
D1_groove_p08,ridge,50.0,8.0,80.0,0.002176237991079688
D3_cone_p7.5,cone3d,30.0,7.5,-80.0,0.002149465261027217
D3_cone_p7.5,cone3d,30.0,7.5,-70.0,0.000603852269705385
D3_cone_p7.5,cone3d,30.0,7.5,-60.0,0.0001737388374749571
D3_cone_p7.5,cone3d,30.0,7.5,-50.0,8.377188351005316e-05
D3_cone_p7.5,cone3d,30.0,7.5,-40.0,5.583926395047456e-05
D3_cone_p7.5,cone3d,30.0,7.5,-30.0,4.3954849388683215e-05
D3_cone_p7.5,cone3d,30.0,7.5,-20.0,4.003923459094949e-05
D3_cone_p7.5,cone3d,30.0,7.5,-10.0,4.644899308914319e-05
D3_cone_p7.5,cone3d,30.0,7.5,0.0,5.111245627631433e-05
D3_cone_p7.5,cone3d,30.0,7.5,10.0,4.9698999646352604e-05
D3_cone_p7.5,cone3d,30.0,7.5,20.0,4.0950173570308834e-05
D3_cone_p7.5,cone3d,30.0,7.5,30.0,4.3665029807016253e-05
D3_cone_p7.5,cone3d,30.0,7.5,40.0,5.543059887713753e-05
D3_cone_p7.5,cone3d,30.0,7.5,50.0,8.283316128654405e-05
D3_cone_p7.5,cone3d,30.0,7.5,60.0,0.00016976108599919826
D3_cone_p7.5,cone3d,30.0,7.5,70.0,0.0005868386942893267
D3_cone_p7.5,cone3d,30.0,7.5,80.0,0.002094885101541877
D3_cone_p3.75,cone3d,30.0,3.75,-80.0,0.0007951199659146369
D3_cone_p3.75,cone3d,30.0,3.75,-70.0,0.0002194021362811327
D3_cone_p3.75,cone3d,30.0,3.75,-60.0,0.00011881066166097298
D3_cone_p3.75,cone3d,30.0,3.75,-50.0,8.924881694838405e-05
D3_cone_p3.75,cone3d,30.0,3.75,-40.0,7.758536230539903e-05
D3_cone_p3.75,cone3d,30.0,3.75,-30.0,7.239205297082663e-05
D3_cone_p3.75,cone3d,30.0,3.75,-20.0,7.032233406789601e-05
D3_cone_p3.75,cone3d,30.0,3.75,-10.0,7.051051943562925e-05
D3_cone_p3.75,cone3d,30.0,3.75,0.0,7.968940190039575e-05
D3_cone_p3.75,cone3d,30.0,3.75,10.0,7.049051782814786e-05
D3_cone_p3.75,cone3d,30.0,3.75,20.0,7.036842725938186e-05
D3_cone_p3.75,cone3d,30.0,3.75,30.0,7.247131725307554e-05
D3_cone_p3.75,cone3d,30.0,3.75,40.0,7.764412293909118e-05
D3_cone_p3.75,cone3d,30.0,3.75,50.0,8.950557821663097e-05
D3_cone_p3.75,cone3d,30.0,3.75,60.0,0.0001192635900224559
D3_cone_p3.75,cone3d,30.0,3.75,70.0,0.00022059536422602832
D3_cone_p3.75,cone3d,30.0,3.75,80.0,0.0008029121672734618
