tag,family,topology,process,feature,seed,diffuse_frac,tube,tube_kind,tube_pitch,tube_wall,tube_depth,floor,floor_depth,floor_pitch,depth,aspect,exposed_est,theta,rho,control,params_json
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.0016401347238570452,0.049771495163440704,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.000447880825959146,0.049724020063877106,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0004312352684792131,0.049719568341970444,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.00044944818364456296,0.049731478095054626,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.000434096553362906,0.04971833899617195,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.0006162783247418702,0.0497635081410408,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.001051884377375245,0.049714431166648865,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.001790850656107068,0.04971007630228996,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.0010445491643622518,0.049722544848918915,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.001777426339685917,0.049707088619470596,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.00035733694676309824,0.04976140335202217,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.0012559869792312384,0.049711473286151886,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0022275468800216913,0.04970622435212135,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.0012439603451639414,0.04971954971551895,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_flat_d00_s23,floor,comb/flat,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,50.0,flat,0.0,0.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.002209368161857128,0.049703460186719894,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.0, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""comb"", ""wall_bot"": 0.08, ""wall_top"": 0.08}"
FL_p650f080_cone_d20_s23,floor,comb/cone,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,48.0,cone,2.0,2.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.00041973087354563177,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 48.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FL_p650f080_cone_d20_s23,floor,comb/cone,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,48.0,cone,2.0,2.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.00047166680451482534,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 48.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FL_p650f080_cone_d20_s23,floor,comb/cone,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,48.0,cone,2.0,2.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0004480021307244897,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 48.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FL_p650f080_cone_d20_s23,floor,comb/cone,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,48.0,cone,2.0,2.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.00046619685599580407,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 48.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FL_p650f080_cone_d20_s23,floor,comb/cone,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,48.0,cone,2.0,2.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.00044735189294442534,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 2.0, ""bot_params"": {""depth_jitter"": 0.0, ""height_seg"": 6, ""jitter"": 0.3, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 16, ""tip_radius"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 48.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
