tag,family,topology,process,feature,seed,diffuse_frac,tube,tube_kind,tube_pitch,tube_wall,tube_depth,floor,floor_depth,floor_pitch,depth,aspect,exposed_est,theta,rho,control,params_json
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.00035488102003000677,0.049963828176259995,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.000453379238024354,0.04994828999042511,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0004376907891128212,0.04994495213031769,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.00044960365630686283,0.049946751445531845,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d00,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.00043927543447352946,0.04994462430477142,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.00032631659996695817,0.04996289312839508,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.0010514636524021626,0.04994660243391991,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0017848805291578174,0.049943048506975174,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,20.0,0.0010658798273652792,0.04994521662592888,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d76,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,40.0,0.0017945668660104275,0.049943435937166214,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,0.0,0.00032235722756013274,0.0499623641371727,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-20.0,0.0012505188351497054,0.049945782870054245,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
FP_p650f080_pyr_p10_s23,floor,comb/pyramid,expanded foil,0.08,23,d100,p650f080,comb,6.5,0.08,47.0,pyramid,3.0,1.0,50.0,7.6923076923076925,0.03282051282051282,-40.0,0.0022161079104989767,0.04994229972362518,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 1.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 47.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 6.5, ""wall_bot"": 0.08, ""wall_top"": 0.08}}"
