tag,family,topology,seed,pitch,depth,wall,paint_frac,paint_mm,deep_until,shallow,deep,aspect,tip_frac,samples,theta,rho,params_json
HC_p02.0_d10.0_w0.03_f015_s23,topo,honeycomb,23,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,0.0,0.0009444062598049641,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s23,topo,honeycomb,23,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,-20.0,0.0019222814589738846,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s23,topo,honeycomb,23,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,-40.0,0.0024807732552289963,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s23,topo,honeycomb,23,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,20.0,0.0019229613244533539,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s23,topo,honeycomb,23,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,40.0,0.0025148747954517603,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s101,topo,honeycomb,101,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,0.0,0.0009584182989783585,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s101,topo,honeycomb,101,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,-20.0,0.0019171118037775159,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s101,topo,honeycomb,101,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,-40.0,0.0025134554598480463,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s101,topo,honeycomb,101,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,20.0,0.0019199225353077054,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
HC_p02.0_d10.0_w0.03_f015_s101,topo,honeycomb,101,2.0,10.0,0.03,0.15,1.5,9.0,musou_fit,anodised_hi,5.0,0.03,128,40.0,0.0025198839139193296,"{""depth"": 10.0, ""floor"": ""none"", ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 2.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
