tag,family,topology,mode,r_surface,theta,rho,control,ratio,params_json
P82b_t35,arplate,arplate,hemi_view,0.01,0.0,0.0,0.04999997466802597,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,20.0,1.126940878748428e-05,0.04999997466802597,0.00022538828994029175,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,40.0,0.0,0.04999997466802597,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,50.0,0.0,0.049999967217445374,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,70.0,0.0,0.049999967217445374,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,-20.0,0.020056702196598053,0.04999997466802597,0.4011342471624077,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_t35,arplate,arplate,hemi_view,0.01,-40.0,0.019957002252340317,0.04999997466802597,0.3991402472670139,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-75.0,0.0,0.004119234159588814,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-70.0,0.0,0.005443420261144638,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-65.0,8.426679414696991e-06,0.006726178806275129,0.0012528182282093654,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-60.0,1.6296963849526946e-06,0.007957748137414455,0.00020479366232897613,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-50.0,2.2809889799191296e-07,0.010230282321572304,2.229644215301149e-05,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-40.0,6.83289798075748e-08,0.01219197642058134,5.604421912449591e-06,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,-20.0,9.648122301086914e-09,0.014955674298107624,6.451144969309551e-07,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,0.0,2.843552948661454e-09,0.015915488824248314,1.7866576264557522e-07,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,40.0,6.835375598868154e-10,0.01219197828322649,5.606453226932125e-08,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_scan,arplate,arplate,angle,0.01,70.0,0.0,0.005443423520773649,0.0,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_sys,arplate,arplate,hemi_view,0.01,0.0,0.00029793038265779614,0.04999997466802597,0.0059586106720233385,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_sys,arplate,arplate,hemi_view,0.01,20.0,0.000379626959329471,0.04999997466802597,0.007592543033271479,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82b_sys,arplate,arplate,hemi_view,0.01,40.0,5.133328522788361e-05,0.04999997466802597,0.001026666224707315,"{""ar_roughness"": 0.02, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82c_lip,arplate,arplate,hemi_view,0.01,0.0,0.0,0.04999997466802597,0.0,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82c_lip,arplate,arplate,hemi_view,0.01,-20.0,0.020056702196598053,0.04999997466802597,0.4011342471624077,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82c_lip,arplate,arplate,hemi_view,0.01,-40.0,0.01711084693670273,0.04999997466802597,0.3422171121147545,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82c_lipscan,arplate,arplate,angle,0.01,-70.0,0.0,0.005443419795483351,0.0,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P82c_lipsys,arplate,arplate,hemi_view,0.01,0.0,0.00022219809761736542,0.04999997466802597,0.004443964203835024,"{""ar_roughness"": 0.02, ""backing"": ""pyramid"", ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
