tag,family,topology,mode,r_surface,theta,rho,control,ratio,params_json
P83_white,arplate,arplate,hemi_view,0.01,-2.0,0.0003060623712372035,0.04999997466802597,0.006121250526011256,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_white,arplate,arplate,hemi_view,0.01,-5.0,0.003918126691132784,0.04999997466802597,0.07836257352422922,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_white,arplate,arplate,hemi_view,0.01,-8.0,0.007936513982713223,0.04999997466802597,0.15873036007333163,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_white,arplate,arplate,hemi_view,0.01,-12.0,0.013180709443986416,0.04999997094273567,0.2636143420779607,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_white,arplate,arplate,hemi_view,0.01,-16.0,0.01864701136946678,0.04999997094273567,0.3729404441219169,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_white,arplate,arplate,hemi_view,0.01,-20.0,0.020056702196598053,0.04999997466802597,0.4011342471624077,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-2.0,1.477542446082225e-05,0.047928255051374435,0.0003082821280471077,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-5.0,0.0001836374431150034,0.04792838171124458,0.003831496840877476,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-8.0,0.00037368174525909126,0.04792838171124458,0.007796669362016472,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-12.0,0.0006221729563549161,0.04793136939406395,0.01298049615982741,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-16.0,0.010414816439151764,0.047930069267749786,0.21729191295284597,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3,arplate,arplate,hemi_view,0.01,-20.0,0.04999997466802597,0.047928906977176666,1.0432112439333434,"{""ar_roughness"": 0.02, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3d,arplate,arplate,hemi_view,0.01,-16.0,0.0009056313429027796,0.04831889644265175,0.01874279856489782,"{""ar_roughness"": 0.02, ""floor_drop"": 320.0, ""floor_len"": 1050.0, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
P83_floor3d,arplate,arplate,hemi_view,0.01,-20.0,0.004668181762099266,0.04831710085272789,0.09661551872344405,"{""ar_roughness"": 0.02, ""floor_drop"": 320.0, ""floor_len"": 1050.0, ""lip_to"": 22.0, ""plate_h"": 155.0, ""r_surface"": 0.01, ""room_floor"": 0.05, ""thickness"": 2.0, ""tilt_deg"": 35.0, ""void_depth"": 130.0, ""void_rho"": 0.0}"
