tag,family,topology,phi,seed,diffuse_frac,theta,rho,control,params_json
P5_j00,floor,pillars,0,23,d100,-40.0,0.0013391865650191903,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0}"
P94b_lean15,floor,pillars,0,23,bare005,0.0,0.01488382276147604,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 15.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean15,floor,pillars,0,23,bare005,-20.0,0.016059860587120056,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 15.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean15,floor,pillars,0,23,bare005,20.0,0.01596137136220932,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 15.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean15,floor,pillars,0,23,bare005,-40.0,0.018265871331095695,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 15.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean15,floor,pillars,0,23,bare005,40.0,0.01809532567858696,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 15.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean30,floor,pillars,0,23,bare005,0.0,0.01968570426106453,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 30.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean30,floor,pillars,0,23,bare005,-20.0,0.020186083391308784,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 30.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean30,floor,pillars,0,23,bare005,20.0,0.019956614822149277,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 30.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean30,floor,pillars,0,23,bare005,-40.0,0.021286092698574066,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 30.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean30,floor,pillars,0,23,bare005,40.0,0.02094406448304653,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 30.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean45,floor,pillars,0,23,bare005,0.0,0.02471071109175682,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 45.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean45,floor,pillars,0,23,bare005,-20.0,0.0248048584908247,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 45.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean45,floor,pillars,0,23,bare005,20.0,0.024801835417747498,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 45.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean45,floor,pillars,0,23,bare005,-40.0,0.024992501363158226,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 45.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
P94b_lean45,floor,pillars,0,23,bare005,40.0,0.024822400882840157,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pillars"", ""margin_depths"": 2.0, ""pillar_lean"": 45.0, ""pitch"": 2.0, ""tip_flat"": 1.0}"
