tag,family,topology,phi,seed,diffuse_frac,theta,rho,control,params_json
P5_j00,floor,pyramid,0,23,d100,-40.0,0.0013391865650191903,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 5.500550055005501, ""tip_flat"": 0.0}"
P9v_composed,floor,pyramid,0,23,d00,0.0,0.0010438901372253895,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d00,-20.0,0.0006611570133827627,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d00,20.0,0.000670083099976182,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d00,-40.0,0.0007819443708285689,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d00,40.0,0.0007598172524012625,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d76,0.0,0.0009576609591022134,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d76,-20.0,0.001255349488928914,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d76,20.0,0.0012525221100077033,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_composed,floor,pyramid,0,23,d76,-40.0,0.0015336591750383377,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""composed"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
