tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,rho_slat,spec_roughness,depth_mm,pitch_mm,tip_width_mm,tip_fraction,half_angle_deg,est_bounces,predicted_return,png
R_tip005,hemi_view,-80.0,0.23410386633059574,0.011705190874636173,0.049999989569187164,0.03849354758858681,0.04010383039712906,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-80.0.png
R_tip005,hemi_view,-70.0,0.006693078968806494,0.0003346538287587464,0.04999998211860657,0.0016405717469751835,0.001894932589493692,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-70.0.png
R_tip005,hemi_view,-60.0,0.0029027537830155882,0.00014513761561829597,0.04999997466802597,0.0012107322691008449,0.0015885395696386695,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-60.0.png
R_tip005,hemi_view,-50.0,0.0022677869728368145,0.00011338931653881446,0.049999985843896866,0.0013056705938652158,0.0015750766033306718,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-50.0.png
R_tip005,hemi_view,-40.0,0.00208019702583147,0.00010400981409475207,0.04999998211860657,0.0014322912320494652,0.0016989492578431964,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-40.0.png
R_tip005,hemi_view,-30.0,0.001988445127603895,9.942222823156044e-05,0.049999985843896866,0.0015624999068677425,0.0018289186991751194,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-30.0.png
R_tip005,hemi_view,-20.0,0.001868782505730616,9.343909187009558e-05,0.04999998211860657,0.0015625003725290298,0.0018229172565042973,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-20.0.png
R_tip005,hemi_view,-10.0,0.0018095918310811832,9.047955245478079e-05,0.04999997839331627,0.0015625007217749953,0.001832124195061624,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th-10.0.png
R_tip005,hemi_view,0.0,0.004222257781426991,0.00021111279784236103,0.04999997839331627,0.0024081182200461626,0.003215048462152481,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+00.0.png
R_tip005,hemi_view,10.0,0.001810812882815653,9.05406050151214e-05,0.04999997839331627,0.0015625004889443517,0.00208666012622416,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+10.0.png
R_tip005,hemi_view,20.0,0.0018691628929307226,9.345811122329906e-05,0.04999998211860657,0.0015625003725290298,0.0018229171400889754,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+20.0.png
R_tip005,hemi_view,30.0,0.001973868033435086,9.869337372947484e-05,0.049999985843896866,0.0015624997904524207,0.0018229166744276881,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+30.0.png
R_tip005,hemi_view,40.0,0.0020709300718616207,0.00010354646656196564,0.04999998211860657,0.0014322912320494652,0.0016969045391306281,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+40.0.png
R_tip005,hemi_view,50.0,0.002270079336691758,0.00011350393469911069,0.049999985843896866,0.0013068791013211012,0.001562498975545168,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+50.0.png
R_tip005,hemi_view,60.0,0.0029089942295037778,0.0001454496377846226,0.04999997466802597,0.0012100093299522996,0.0017037546494975686,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+60.0.png
R_tip005,hemi_view,70.0,0.006710046508030834,0.0003355022054165602,0.04999998211860657,0.002089192159473896,0.0023958319798111916,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+70.0.png
R_tip005,hemi_view,80.0,0.21480799477267157,0.010740397498011589,0.049999989569187164,0.046660084277391434,0.04751955345273018,0.05,0.05,100.0,20.0,0.05,0.0025,5.710593137499643,7.880092122917908,0.001575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip005__hemi_view_th+80.0.png
R_tip020,hemi_view,-80.0,0.23453285222440856,0.011726640164852142,0.049999989569187164,0.03763025254011154,0.03911403939127922,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-80.0.png
R_tip020,hemi_view,-70.0,0.020762277275989272,0.0010381134925410151,0.04999998211860657,0.006041667889803648,0.006315508391708136,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-70.0.png
R_tip020,hemi_view,-60.0,0.010384477813873376,0.0005192236276343465,0.04999997466802597,0.0044259498827159405,0.005527335684746504,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-60.0.png
R_tip020,hemi_view,-50.0,0.009012684100173382,0.0004506340774241835,0.049999985843896866,0.005345044191926718,0.005612196866422892,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-50.0.png
R_tip020,hemi_view,-40.0,0.00831569085663677,0.0004157843941356987,0.04999998211860657,0.005729164928197861,0.006249999161809683,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-40.0.png
R_tip020,hemi_view,-30.0,0.007903554851823183,0.0003951776307076216,0.049999985843896866,0.0062500000931322575,0.006516811903566122,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-30.0.png
R_tip020,hemi_view,-20.0,0.007485437439203241,0.00037427173811011016,0.04999998211860657,0.006250001024454832,0.006516174878925085,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-20.0.png
R_tip020,hemi_view,-10.0,0.007203517218522718,0.0003601757052820176,0.04999997839331627,0.0061263046227395535,0.006790365558117628,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th-10.0.png
R_tip020,hemi_view,0.0,0.008793291361152374,0.00043966437806375325,0.04999997839331627,0.0053190141916275024,0.006191407795995474,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+00.0.png
R_tip020,hemi_view,10.0,0.007208062656727687,0.0003604029770940542,0.04999997839331627,0.006256511434912682,0.006790366023778915,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+10.0.png
R_tip020,hemi_view,20.0,0.007477277886378308,0.00037386376061476767,0.04999998211860657,0.00638020783662796,0.00677083432674408,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+20.0.png
R_tip020,hemi_view,30.0,0.007876757201304836,0.00039383774856105447,0.049999985843896866,0.005989584606140852,0.0065104179084300995,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+30.0.png
R_tip020,hemi_view,40.0,0.00828433554264237,0.00041421662899665534,0.04999998211860657,0.005729166325181723,0.006139110773801804,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+40.0.png
R_tip020,hemi_view,50.0,0.008961316989027303,0.00044806572259403765,0.049999985843896866,0.005084631964564323,0.005481766536831856,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+50.0.png
R_tip020,hemi_view,60.0,0.010366921210293787,0.0005183457979001105,0.04999997466802597,0.004420362878590822,0.0052862646989524364,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+60.0.png
R_tip020,hemi_view,70.0,0.020515104176290336,0.0010257548419758677,0.04999998211860657,0.005605918355286121,0.00599609175696969,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+70.0.png
R_tip020,hemi_view,80.0,0.21511557343032997,0.010755776427686214,0.049999989569187164,0.046399783343076706,0.047395866364240646,0.05,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip020__hemi_view_th+80.0.png
R_tip050,hemi_view,-80.0,0.24033154718043895,0.01201657485216856,0.049999989569187164,0.03712894767522812,0.03762374445796013,0.05,0.05,100.0,20.0,0.5,0.025,5.710593137499643,7.880092122917908,0.01575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip050__hemi_view_th-80.0.png
R_tip050,hemi_view,-70.0,0.04902019987232681,0.00245100911706686,0.04999998211860657,0.014524648897349834,0.014798179268836975,0.05,0.05,100.0,20.0,0.5,0.025,5.710593137499643,7.880092122917908,0.01575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip050__hemi_view_th-70.0.png
R_tip050,hemi_view,-60.0,0.024129786180894525,0.0012064886977896094,0.04999997466802597,0.010363945737481117,0.011978878639638424,0.05,0.05,100.0,20.0,0.5,0.025,5.710593137499643,7.880092122917908,0.01575,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge/R_tip050__hemi_view_th-60.0.png
