tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,rho_slat,spec_roughness,depth_mm,pitch_mm,tip_width_mm,tip_fraction,half_angle_deg,est_bounces,predicted_return,png
B_d100_g05,hemi_view,-80.0,0.01991423960848681,0.0009957117727026343,0.049999989569187164,0.00370442564599216,0.003859887830913067,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-80.0.png
B_d100_g05,hemi_view,-70.0,0.0019102662473844728,9.55132782110013e-05,0.04999998211860657,0.0005990228382870555,0.0006251336308196187,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-70.0.png
B_d100_g05,hemi_view,-60.0,0.0010107472217376237,5.053733548265882e-05,0.04999997466802597,0.0004309507494326681,0.0005474594654515386,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-60.0.png
B_d100_g05,hemi_view,-50.0,0.0008977226747970033,4.4886121031595394e-05,0.049999985843896866,0.0005338533082976937,0.0005599622963927686,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-50.0.png
B_d100_g05,hemi_view,-40.0,0.0008300684625248328,4.1503408283460885e-05,0.04999998211860657,0.0005729160038754344,0.0006249992293305695,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-40.0.png
B_d100_g05,hemi_view,-30.0,0.0007895236247127708,3.947617005906068e-05,0.049999985843896866,0.0006249996367841959,0.0006511052488349378,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-30.0.png
B_d100_g05,hemi_view,-20.0,0.0007480768310013256,3.740382817341015e-05,0.04999998211860657,0.0006249996367841959,0.0006510934908874333,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-20.0.png
B_d100_g05,hemi_view,-10.0,0.0007197961731445271,3.598979310481809e-05,0.04999997839331627,0.0006119788740761578,0.0006770829786546528,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th-10.0.png
B_d100_g05,hemi_view,0.0,0.0008470417401076922,4.2352068703621626e-05,0.04999997839331627,0.0005219400627538562,0.000612695119343698,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th+00.0.png
B_d100_g05,hemi_view,10.0,0.0007202683829977454,3.6013403587276116e-05,0.04999997839331627,0.0006249996949918568,0.0006772124324925244,0.005,0.05,100.0,20.0,0.2,0.01,5.710593137499643,7.880092122917908,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_best/B_d100_g05__hemi_view_th+10.0.png
