tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,rho_slat,spec_roughness,depth_mm,pitch_mm,tip_width_mm,tip_fraction,half_angle_deg,est_bounces,predicted_return,png
M_d150_plain,hemi_view,-80.0,0.024928788732782637,0.0012464391766116023,0.049999989569187164,0.001951158163137734,0.002125471830368042,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-80.0.png
M_d150_plain,hemi_view,-70.0,0.006986303657983061,0.00034931505797430873,0.04999998211860657,0.0009220588835887611,0.0010152047034353018,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-70.0.png
M_d150_plain,hemi_view,-60.0,0.003162845243315969,0.0001581421820446849,0.04999997466802597,0.0006252206512726843,0.0007804208435118198,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-60.0.png
M_d150_plain,hemi_view,-50.0,0.00197699218499998,9.884958126349375e-05,0.049999985843896866,0.0006114475545473397,0.0007021945784799755,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-50.0.png
M_d150_plain,hemi_view,-40.0,0.001503401973570099,7.517007179558277e-05,0.04999998211860657,0.0005986046744510531,0.0007019639015197754,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-40.0.png
M_d150_plain,hemi_view,-30.0,0.0012777545614516238,6.388770998455584e-05,0.049999985843896866,0.0006375695811584592,0.0007195963407866657,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-30.0.png
M_d150_plain,hemi_view,-20.0,0.0011476997781700593,5.738496838603169e-05,0.04999998211860657,0.0006499811424873769,0.000728759856428951,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-20.0.png
M_d150_plain,hemi_view,-10.0,0.0010927693430986024,5.4638443543808535e-05,0.04999997839331627,0.0006503437180072069,0.0007523702806793153,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th-10.0.png
M_d150_plain,hemi_view,0.0,0.0013699095969908434,6.849545025033876e-05,0.04999997839331627,0.0006877207197248936,0.000829859112855047,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+00.0.png
M_d150_plain,hemi_view,10.0,0.0010890089082998535,5.4450421885121614e-05,0.04999997839331627,0.0006507906946353614,0.0007661613635718822,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+10.0.png
M_d150_plain,hemi_view,20.0,0.0011435632492679058,5.717814201489091e-05,0.04999998211860657,0.0006472423556260765,0.0007494252058677375,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+20.0.png
M_d150_plain,hemi_view,30.0,0.0012692005067010913,6.34600073681213e-05,0.049999985843896866,0.0006115268333815038,0.0007147529977373779,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+30.0.png
M_d150_plain,hemi_view,40.0,0.0014921985955482914,7.46099030948244e-05,0.04999998211860657,0.0006103575578890741,0.0006892819073982537,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+40.0.png
M_d150_plain,hemi_view,50.0,0.0019611013435524034,9.80550394160673e-05,0.049999985843896866,0.0005860698292963207,0.0007022195495665073,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+50.0.png
M_d150_plain,hemi_view,60.0,0.003142727210320162,0.00015713628090452403,0.04999997466802597,0.0006204386590979993,0.0007549014408141375,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+60.0.png
M_d150_plain,hemi_view,70.0,0.0068954804659490465,0.0003447738999966532,0.04999998211860657,0.0008747866377234459,0.0009938818402588367,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+70.0.png
M_d150_plain,hemi_view,80.0,0.024741103911779146,0.001237054937519133,0.049999989569187164,0.001863454352132976,0.00195897463709116,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__hemi_view_th+80.0.png
M_d150_plain,angle,-60.0,0.0007408933115460021,5.895843059988692e-06,0.00795774906873703,9.129496902460232e-05,9.798192331800237e-05,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__angle_th-60.0.png
M_d150_plain,angle,-55.0,0.000742905407525094,6.781800038879737e-06,0.00912875309586525,9.913202666211873e-05,0.00010639745596563444,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__angle_th-55.0.png
M_d150_plain,angle,-50.0,0.0009403504141254769,9.620051969250198e-06,0.010230284184217453,0.00013950062566436827,0.0001526353880763054,0.005,0.3,150.0,20.0,0.2,0.01,3.8140748342903543,11.79840510611604,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/M_d150_plain__angle_th-50.0.png
