tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,rho_slat,spec_roughness,depth_mm,pitch_mm,tip_width_mm,tip_fraction,half_angle_deg,est_bounces,predicted_return,png
N_d050_plain,hemi_view,-80.0,0.07868705096272698,0.0039343517273664474,0.049999989569187164,0.004491888452321291,0.004569272510707378,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-80.0.png
N_d050_plain,hemi_view,-70.0,0.02974046992169735,0.001487022964283824,0.04999998211860657,0.0034881525207310915,0.00364723801612854,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-70.0.png
N_d050_plain,hemi_view,-60.0,0.00836299748576305,0.0004181496624369174,0.04999997466802597,0.001464344677515328,0.0017525259172543883,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-60.0.png
N_d050_plain,hemi_view,-50.0,0.003482714350097964,0.00017413566820323467,0.049999985843896866,0.0007936793845146894,0.000940570083912462,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-50.0.png
N_d050_plain,hemi_view,-40.0,0.0020862730346888725,0.00010431361442897469,0.04999998211860657,0.000663583108689636,0.0007805193308740854,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-40.0.png
N_d050_plain,hemi_view,-30.0,0.0015447541962892522,7.723768794676289e-05,0.049999985843896866,0.0006639902712777257,0.000767608406022191,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-30.0.png
N_d050_plain,hemi_view,-20.0,0.0012827448012065177,6.413721712306142e-05,0.04999998211860657,0.0006583977956324816,0.0007416428416036069,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-20.0.png
N_d050_plain,hemi_view,-10.0,0.0016785129241924704,8.392560994252563e-05,0.04999997839331627,0.0007547523127868772,0.00102953240275383,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th-10.0.png
N_d050_plain,hemi_view,0.0,0.0017940177825971051,8.970085036708042e-05,0.04999997839331627,0.0006704142433591187,0.0007667794707231224,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th+00.0.png
N_d050_plain,hemi_view,10.0,0.0016888108824922232,8.444050763500854e-05,0.04999997839331627,0.0007555897464044392,0.001042132149450481,0.005,0.3,50.0,20.0,0.2,0.01,11.309932474020215,3.9788035961636785,0.0063,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/ridge_micro/N_d050_plain__hemi_view_th+10.0.png
