tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0375_d20,d00,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,0.0,0.0032229151111096144,0.0498015321791172
P050_B00_L00_p0375_d20,d00,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-20.0,0.004056536592543125,0.04979231581091881
P050_B00_L00_p0375_d20,d00,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-40.0,0.005136870313435793,0.05000157281756401
P050_B00_L00_p0375_d20,d00,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,20.0,0.004148941952735186,0.049795813858509064
P050_B00_L00_p0375_d20,d00,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,40.0,0.005134551320225,0.05000453069806099
P050_B00_L00_p0375_d20,d76,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,0.0,0.002630212577059865,0.04979345574975014
P050_B00_L00_p0375_d20,d76,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-20.0,0.002923977328464389,0.04978305101394653
P050_B00_L00_p0375_d20,d76,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-40.0,0.00366991083137691,0.04983878880739212
P050_B00_L00_p0375_d20,d76,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,20.0,0.0029395988676697016,0.04978630319237709
P050_B00_L00_p0375_d20,d76,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,40.0,0.0036339520011097193,0.04983610287308693
P050_B00_L00_p0375_d20,d100,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,0.0,0.0027047223411500454,0.04979128763079643
P050_B00_L00_p0375_d20,d100,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-20.0,0.002922255313023925,0.04977988079190254
P050_B00_L00_p0375_d20,d100,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,-40.0,0.003541555255651474,0.0497872494161129
P050_B00_L00_p0375_d20,d100,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,20.0,0.0029383718501776457,0.049782976508140564
P050_B00_L00_p0375_d20,d100,0.5,0.0,0.0,3.75,20.0,5.333333333333333,0.521,40.0,0.0035190056078135967,0.049782563000917435
P050_B00_L00_p0375_d30,d00,0.5,0.0,0.0,3.75,30.0,8.0,0.521,0.0,0.0024763739202171564,0.049681056290864944
P050_B00_L00_p0375_d30,d00,0.5,0.0,0.0,3.75,30.0,8.0,0.521,-20.0,0.0023284871131181717,0.049653951078653336
P050_B00_L00_p0375_d30,d00,0.5,0.0,0.0,3.75,30.0,8.0,0.521,-40.0,0.0035473150201141834,0.05000783130526543
P050_B00_L00_p0375_d30,d00,0.5,0.0,0.0,3.75,30.0,8.0,0.521,20.0,0.002387048676609993,0.049655813723802567
P050_B00_L00_p0375_d30,d00,0.5,0.0,0.0,3.75,30.0,8.0,0.521,40.0,0.00353438314050436,0.05001034215092659
P050_B00_L00_p0375_d30,d76,0.5,0.0,0.0,3.75,30.0,8.0,0.521,0.0,0.0019682259298861027,0.049669817090034485
P050_B00_L00_p0375_d30,d76,0.5,0.0,0.0,3.75,30.0,8.0,0.521,-20.0,0.002156586153432727,0.0496399849653244
P050_B00_L00_p0375_d30,d76,0.5,0.0,0.0,3.75,30.0,8.0,0.521,-40.0,0.0029779206961393356,0.049721941351890564
P050_B00_L00_p0375_d30,d76,0.5,0.0,0.0,3.75,30.0,8.0,0.521,20.0,0.002197371795773506,0.04964114725589752
