tag,mode,theta,ratio_vs_flat,panel_mean,control_mean,panel_p99,panel_max,material_mode,spec_roughness,n_slats,n_baffles,png,depth_mm,slat_len_mm,slat_deg,slat_zone_depth_mm,chamber_depth_mm,slat_overlap,pitch_mean_mm,open_face_fraction,chamber_aperture_fraction,flare_mm,chamfer_mm,baffle_rows,baffle_count,baffle_len_mm,back_profile
ang20,hemi_view,-80,0.9962837199755173,0.049814119935035706,0.04999993368983269,0.04999999329447746,0.04999999329447746,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-80.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-70,0.9936164859439831,0.04968078061938286,0.04999995604157448,0.04999999329447746,0.04999999329447746,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-70.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-60,0.35668872785685335,0.017834419384598732,0.04999995231628418,0.04999999329447746,0.04999999329447746,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-60.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-50,0.05040136496236485,0.0025200662203133106,0.04999995976686478,0.026959657669067383,0.027506520971655846,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-50.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-40,0.04436274639458718,0.002218135865405202,0.049999967217445374,0.02716151438653469,0.027819067239761353,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-40.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-30,0.041376011565990876,0.0020687992218881845,0.049999967217445374,0.02859380654990673,0.029596416279673576,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-30.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-20,0.02880151623896205,0.001440074760466814,0.049999963492155075,0.021564844995737076,0.022701844573020935,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-20.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,-10,0.03527977518676198,0.0017639874713495374,0.049999963492155075,0.027734436094760895,0.02826829068362713,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th-10.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,0,0.0387654573583217,0.0019382714526727796,0.049999963492155075,0.02893235720694065,0.029505273327231407,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th+00.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
ang20,hemi_view,10,0.09813542192631475,0.004906767513602972,0.049999963492155075,0.029378389939665794,0.030675088986754417,mixed,0.05,25,16,/Users/hojunsong/Desktop/SpillSinkSimulator/project/renders/slat_angle/ang20__hemi_view_th+10.0.png,100.0,64.32369680358792,20.0,60.44450322800169,39.55549677199831,1.1,20.0,0.95,0.20168520138956275,20.0,30.0,2,16,40.0,flat
