tag,family,theta,rho,control,depth,pitch,tip_across
V2_groove_d50_p13,ridge,-80.0,0.0024911919608712196,0.04999979957938194,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-70.0,0.000725855294149369,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-60.0,0.00033958061248995364,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-50.0,0.00022380972222890705,0.04999979957938194,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-40.0,0.00017716368893161416,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-30.0,0.0001522303937235847,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-20.0,0.0001381397742079571,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,-10.0,0.0001331602834397927,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,0.0,0.0001588020968483761,0.04999978840351105,50.0,13.0,0.4
V2_groove_d50_p13,ridge,10.0,0.00013340201985556632,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,20.0,0.0001383958588121459,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,30.0,0.00015306149725802243,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,40.0,0.00017804227536544204,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,50.0,0.00022349289793055505,0.04999979957938194,50.0,13.0,0.4
V2_groove_d50_p13,ridge,60.0,0.0003382408176548779,0.049999792128801346,50.0,13.0,0.4
V2_groove_d50_p13,ridge,70.0,0.0007309361244551837,0.049999795854091644,50.0,13.0,0.4
V2_groove_d50_p13,ridge,80.0,0.002489786595106125,0.04999979957938194,50.0,13.0,0.4
V2_groove_d30_p75,ridge,-80.0,0.0026127027813345194,0.04999979957938194,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-70.0,0.0008622630266472697,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-60.0,0.0004533450410235673,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-50.0,0.0003189026901964098,0.04999979957938194,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-40.0,0.0002611380477901548,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-30.0,0.00023020146181806922,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-20.0,0.00021018393454141915,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,-10.0,0.00020446174312382936,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,0.0,0.00023715394490864128,0.04999978840351105,30.0,7.5,0.4
V2_groove_d30_p75,ridge,10.0,0.0002044921275228262,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,20.0,0.00021053367527201772,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,30.0,0.00022955558961257339,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,40.0,0.0002613361575640738,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,50.0,0.0003179788473062217,0.04999979957938194,30.0,7.5,0.4
V2_groove_d30_p75,ridge,60.0,0.0004478054470382631,0.049999792128801346,30.0,7.5,0.4
V2_groove_d30_p75,ridge,70.0,0.0008573800441808999,0.049999795854091644,30.0,7.5,0.4
V2_groove_d30_p75,ridge,80.0,0.0026121053379029036,0.04999979957938194,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-80.0,0.0019173045875504613,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-70.0,0.0005470967735163867,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-60.0,0.00016561135998927057,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-50.0,8.153468661475927e-05,0.049999795854091644,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-40.0,5.5296393838943914e-05,0.04999979957938194,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-30.0,4.41428528574761e-05,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-20.0,4.0119488403433934e-05,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,-10.0,4.6086908696452156e-05,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,0.0,4.698632255895063e-05,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,10.0,4.357567013357766e-05,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,20.0,3.982750786235556e-05,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,30.0,4.404719584272243e-05,0.049999792128801346,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,40.0,5.542664075619541e-05,0.04999979957938194,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,50.0,8.247204823419452e-05,0.049999795854091644,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,60.0,0.0001686571049503982,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,70.0,0.0005685798823833466,0.04999978840351105,30.0,7.5,0.4
V2_cone_d30_p75,cone3d,80.0,0.0020130262710154057,0.049999773502349854,30.0,7.5,0.4
V2_cone_d30_p375,cone3d,-80.0,0.0007902433280833066,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-70.0,0.00021811050828546286,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-60.0,0.00011907056614290923,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-50.0,9.021593723446131e-05,0.049999795854091644,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-40.0,7.870655099395663e-05,0.04999979957938194,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-30.0,7.388289668597281e-05,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-20.0,7.206554437289014e-05,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,-10.0,7.227703463286161e-05,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,0.0,8.035198698053136e-05,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,10.0,7.21301548765041e-05,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,20.0,7.204624853329733e-05,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,30.0,7.401723996736109e-05,0.049999792128801346,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,40.0,7.894820009823889e-05,0.04999979957938194,30.0,3.75,0.4
